structureNumber,flowChartResult,randomForest,NDOTResult
C001006545,Yes,,,
C001006550,Yes,,No,
C001006555,Yes,,No,
C001006710P,No,,Yes,
C001007105,No,,No,
C001007303,No,Yes,No,
C001007305,Yes,,No,
C001007325,Yes,,,
C001007335,Yes,,,
C001007340,Yes,,,
C001007345,Yes,,No,
C001007355,Yes,,,
C001010210,No,,No,
C001010325,Yes,,No,
C001010410P,No,,No,
C001010610,No,,No,
C001010805,Yes,,,
C001010910,Yes,,,
C001011025,Yes,Yes,Yes,
C001011115P,Yes,,No,
C001011510,Yes,,,
C001011515,No,,No,
C001011605,No,,No,
C001011610,No,,Yes,
C001011715,No,,No,
C001011720,Yes,,No,
C001012210,No,,No,
C001012405,Yes,,,
C001012406,Yes,,,
C001012408,Yes,Yes,No,
C001012410,Yes,,,
C001012413,Yes,,,
C001012415,No,Yes,No,
C001012420,Yes,,,
C001012705P,Yes,,No,
C001012725,Yes,,No,
C001012815,Yes,,No,
C001012920,Yes,,Yes,
C001012925,Yes,,Yes,
C001012935,Yes,,Yes,
C001013313,Yes,,,
C001013320,Yes,,No,
C001013323,Yes,,,
C001013460,Yes,,,
C001013520,No,,Yes,
C001013910,No,Yes,No,
C001013915,No,,No,
C001014050,Yes,,No,
C001014055,Yes,,No,
C001014095,Yes,,,
C001014105,No,,No,
C001014110,No,,No,
C001014115,Yes,,,
C001014310,Yes,No,No,
C001014315,Yes,,No,
C001014925,Yes,,Yes,
C001015310,Yes,,,
C001015315,Yes,,,
C001015320,Yes,,,
C001015705,Yes,,No,
C001015710,Yes,,No,
C001015713,No,,No,
C001015715,Yes,,,
C001015720,Yes,,,
C001015725,No,,No,
C001015730,No,,No,
C001015910,Yes,,,
C001015915,Yes,,,
C001016705,No,,No,
C001016710,Yes,,No,
C001016720,No,,No,
C001016722,No,,No,
C001016725,Yes,,,
C001016730,Yes,,,
C001016733,Yes,,No,
C001016735,Yes,Yes,Yes,
C001016902,No,,No,
C001016910,Yes,,No,
C001016915,No,,No,
C001016925,Yes,,,
C001016930,No,,No,
C001016945,Yes,,No,
C001017105,Yes,,,
C001017110,Yes,,No,
C001017115,Yes,,,
C001017120,Yes,,,
C001017130,Yes,,,
C001017350,Yes,,Yes,
C001017355,Yes,,Yes,
C001017505,Yes,,,
C001017510,No,,No,
C001017530,Yes,No,No,
C001017535,Yes,,No,
C001020113,Yes,,,
C001020115,Yes,,,
C001020120,Yes,,No,
C001020225,No,Yes,No,
C001020310,Yes,,,
C001020415P,Yes,,No,
C001020615,Yes,,No,
C001020620,Yes,,No,
C001020810,No,Yes,No,
C001021120,Yes,,No,
C001021620,No,,No,
C001021625,Yes,,,
C001021725,No,,No,
C001021735,Yes,,No,
C001021740,Yes,,No,
C001021817,Yes,,,
C001022230,Yes,,,
C001022235,No,Yes,No,
C001022260,No,,No,
C001023113,No,,No,
C001023115,Yes,,No,
C001023125,No,,No,
C001023325,Yes,Yes,Yes,
C001023620,Yes,,,
C001023810,No,,No,
C001023820,No,,No,
C001023825,Yes,Yes,No,
C001023827,Yes,,,
C001023830,Yes,,No,
C001023925,No,Yes,No,
C001024320,Yes,,,
C001024410,Yes,,,
C001024415,Yes,,,
C001024510,Yes,,No,
C001024515,No,No,No,
C001024520,Yes,,No,
C001024625,Yes,,,
C001024705,No,,No,
C001025030,Yes,,No,
C001025505,Yes,,,
C001025510,Yes,,No,
C001025515,Yes,,,
C001025520,Yes,,,
C001025525,Yes,,,
C001025530,No,,No,
C001025920,No,,No,
C001025925,Yes,,No,
C001027125,Yes,,Yes,
C001030230,Yes,,No,
C001030235,Yes,,No,
C001030401,Yes,,,
C001030410,No,,,
C001030415,Yes,Yes,Yes,
C001030420,No,,No,
C001030920,Yes,,No,
C001031410,No,,No,
C001031415,Yes,,No,
C001031417,Yes,,,
C001031420,No,Yes,No,
C001031425,Yes,,,
C001031630,Yes,,No,
C001031635,Yes,,No,
C001031640,No,,No,
C001031645,Yes,,No,
C001031820,Yes,,,
C001031825,Yes,,,
C001031830,Yes,,No,
C001031835,Yes,,,
C001031840,No,,No,
C001031845,Yes,,,
C001031850,No,,No,
