,BIR_PRJD_ITEM_008,BIR_PRJD_RT_008A,BIR_PRJD_ORIG_PLN,BIR_PRJD_OVERLAY,BIR_PRJD_CURB,BIR_PRJD_DEV_RPAR,BIR_PRJD_WIDENING,BIR_PRJD_PAINTING,BIR_PRJD_SHOP_PLN,BIR_PRJD_OTHER,BIR_PRJD_RE_DECK,BIR_PRJD_FORM_PRJ,BIR_PRJD_DSGN_CLS,BIR_PRJD_YEAR
1992,S020 41914,6,,,,,,,,Y,,F-20-7(1006)-4C,,1989.0
1993,S020 42020,1,Y,,,,,,,,,F-271(6)-3,H20,1954.0
1994,S020 42020,2,,,,,,,Y,,,9631,,
1995,S020 42020,3,,,,,,Y,,,,20(420.20),,1978.0
1996,S020 42020,4,,Y,,,Y,,,,,BHF-20-7(106)-2,H20,1985.0
1997,S020 42020,5,,,,,,,Y,,,11627,,1985.0
1998,S020 42020,6,,,,,,,,Y,,F-20-7(1006)-5C,,1989.0
1999,S020 42073,1,Y,,,,,,,,,F-271-6,H15,1955.0
2000,S020 42073,2,,,,,,,,Y,,F-20-7(1006)-7C,HS20,1989.0
2001,S020 42144,1,Y,,,,,,,,,F-271(6)-4,H20,1954.0
2002,S020 42144,2,,,,,,,Y,,,9631,,
2003,S020 42144,3,,,,,,Y,,,,20(421.44),,1978.0
2004,S020 42144,4,,Y,,,Y,,,,,BHF-20-7(106)-3,H20,1985.0
2005,S020 42144,5,,,,,,,Y,,,11627,,1985.0
2006,S020 42144,6,,,,,,,,Y,,F-20-7(1006)-6C,,1089.0
2007,S020 42270,1,Y,,,,,,,,,NH-20-7(112)-1,HS25,1992.0
2008,S020 42270,2,,,,,,,Y,,,12200,,
2009,S020 42270,3,,Y,,Y,,,,,,STR-20-7(1010)-1C,HS20,2003.0
2010,S021 00316,1,Y,,,,,,,,,S-242(2)-2,HS20,1963.0
2011,S021 00316,2,,,,,,,,Y,,STP-21-2(107)STD 1206,HS20,1995.0
2012,S021 00579,1,Y,,,,,,,,,S-8(3)-1,H20,1964.0
2013,S021 00579,2,,,,,,,Y,,,10458,,
2014,S021 00579,3,,,Y,,,,,,,STPD-21-2(107)-1C,,1995.0
2015,S021 00738,1,Y,,,,,,,,,S-8(10),H15,1961.0
2016,S021 00738,2,,,,,,,,Y,,"STPD-21-2(107)-8C,9C",HS20,1995.0
2017,S021 01167,1,Y,,,,,,,,,F-BRF-21-2(102),HS20,1988.0
2018,S021 01167,2,,,,,,,Y,,,11756,,
2019,S021 01212,1,Y,,,,,,,,,F-21-2(102)-1,HS20,1988.0
2020,S021 01212,2,,,,,,,Y,,,11756,,
2021,S021 01319,1,Y,,,,,,,,,S-8(6)-1,H15,1954.0
2022,S021 01319,2,,,,,,,Y,,,9635,,
2023,S021 01319,3,,Y,,,Y,,,,,S-21-2(1001)-1,H15,1973.0
2024,S021 01319,4,,,,,,,Y,,,10841,,
2025,S021 01319,5,,Y,,,,,,,,RD-21-2(1011)-1C,HS20,1995.0
2026,S021 01383,1,Y,,,,,,,,,S-SG-8(14)-1,H20,1966.0
2027,S021 01383,2,,,,,,,Y,,,10570,,
2028,S021 01383,3,,Y,,,,,,,,21(13.83),,1983.0
2029,S021 01383,4,,,,,,,Y,,,11418,,1983.0
2030,S021 01383,5,,,,Y,,,,,,STR-D6(10130-5C,,2001.0
2031,S021 02931,1,Y,,,,,,,,,S-429(3)-1,H15,1955.0
2032,S021 02931,2,,,,,,,Y,,,9741,,
2033,S021 03166,1,Y,,,,,,,,,S-429(3)-2,H15,1955.0
2034,S021 03166,2,,,,,,,Y,,,9742,,
2035,S021 03228,1,Y,,,,,,,,,UNKNOWN,,1939.0
2036,S021 03228,2,,,,,Y,,,,,S-429(3)-3,H15,1955.0
2037,S021 03228,3,,,,,,,Y,,,9742,,
2038,S021 03419,1,Y,,,,,,,,,UNKNOWN,,
2039,S021 03419,2,,,,,Y,,,,,S-429(6)-2,H20,1967.0
2040,S021 03419,3,,,,,,,Y,,,10591,,
2041,S021 03419,4,,,Y,,,,,,,F-21-2(1005)-1C,,1986.0
2042,S021 03446,1,Y,,,,,,,,,WPDO-429-A-1,H12,1936.0
